uri,artist_names,track_name,search_term
spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","bizarrap, quevedo quevedo: bzrp music sessions, vol. 52"
spotify:track:5JhUm1v5AbI5Yu6jLKCPRO,Grupo Frontera,No Se Va - En Vivo,grupo frontera no se va - en vivo
spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,manuel turizo la bachata
spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,bad bunny efecto
spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,"bad bunny, chencho corleone me porto bonito"
spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,bad bunny tití me preguntó
spotify:track:5PfFHceiEv61KldMOuVrv8,"Peso Pluma, Luis R Conriquez",Siempre Pendientes,"peso pluma, luis r conriquez siempre pendientes"
spotify:track:31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,bad bunny neverita
spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,"bad bunny, bomba estéreo ojitos lindos"
spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,rosalía despechá
spotify:track:4w273WCBXwM4P3jTX5HkB2,"Grupo Marca Registrada, Junior H",El Rescate,"grupo marca registrada, junior h el rescate"
spotify:track:5kpxVMDvYGRmNqawPqDTYR,"La Adictiva, Luis R Conriquez",JGL,"la adictiva, luis r conriquez jgl"
spotify:track:7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,karol g provenza
spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,bad bunny moscow mule
spotify:track:0uBcoM4zxRXk7kmsmxoiFS,"Grupo Firme, Luis Mexia",Calidad,"grupo firme, luis mexia calidad"
spotify:track:79HZAZNnOE97rb2hnI0XQr,"Rauw Alejandro, Lyanno, Brray",LOKERA,"rauw alejandro, lyanno, brray lokera"
spotify:track:74WROFXsox6wkeUrEK2DS6,Eden Muñoz,Chale,eden muñoz chale
spotify:track:7Jph6HJbfURt4Fea19IED3,Grupo Marca Registrada,Si Fuera Fácil,grupo marca registrada si fuera fácil
spotify:track:3ZGkdrigbWXLgHungXfZkt,"Junior H, Luis R Conriquez",Los Botones Azules,"junior h, luis r conriquez los botones azules"
spotify:track:4tYFy8ALRjIZvnvSLw5lxN,"Bad Bunny, Rauw Alejandro",Party,"bad bunny, rauw alejandro party"
spotify:track:7gwT3HGL84vF7bgtwL1N88,Lasso,Ojos Marrones,lasso ojos marrones
spotify:track:1kJXYVVUu7o3B9gaJpoxjm,Julión Álvarez y su Norteño Banda,Que Te Vaya Bien,julión álvarez y su norteño banda que te vaya bien
spotify:track:1797zYiX4cKosMH836X9Gt,"Bad Bunny, Tony Dize",La Corriente,"bad bunny, tony dize la corriente"
spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,harry styles as it was
spotify:track:3bvJftZKZe5QKz433NczyV,Carin Leon,No Es Por Acá,carin leon no es por acá
spotify:track:3XfUFGzbr0LmwFVoLXd9cO,"Fuerza Regida, Edgardo Nuñez",Billete Grande (En Vivo),"fuerza regida, edgardo nuñez billete grande (en vivo)"
spotify:track:0kTMK4gNFfLXaTb62w1UaJ,"Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C",BABY OTAKU,"pablo pesadilla, polimá westcoast, nickoog clk, fran c baby otaku"
spotify:track:2rurDawMfoKP4uHyb2kJBt,"Shakira, Rauw Alejandro",Te Felicito,"shakira, rauw alejandro te felicito"
spotify:track:41oY4WCTj5kccfesTVFnvN,"Bad Bunny, Jhayco",Tarot,"bad bunny, jhayco tarot"
spotify:track:7dMTCS9BLzBqYTlAuHP8TM,Danna Paola,XT4S1S,danna paola xt4s1s
spotify:track:2NWaWZZLFMcr5P4uI2KvWy,Victor Cibrian,En El Radio Un Cochinero,victor cibrian en el radio un cochinero
spotify:track:6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,bad bunny un coco
spotify:track:1ga4PztXOIw1yBbdUt2X8v,"KAROL G, Maldy",GATÚBELA,"karol g, maldy gatúbela"
spotify:track:1RGlfmdvcfatN0ZLOmzanS,Junior H,El Hijo Mayor,junior h el hijo mayor
spotify:track:1O2pcBJGej0pmH2Y9XZMs6,Cris Mj,Una Noche en Medellín,cris mj una noche en medellín
spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),"sam smith, kim petras unholy (feat. kim petras)"
spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,feid feliz cumpleaños ferxxo
spotify:track:0UXlu64mDLvfzR8IXMz06J,Christian Nodal,Ya No Somos Ni Seremos,christian nodal ya no somos ni seremos
