uri,artist_names,track_name,search_term
spotify:track:55ZATsjPlTeSTNJOuW90pW,"Cartel De Santa, La Kelly",Shorty Party,shorty party by cartel de santa
spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",TQG,tqg by karol g
spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",PRC,prc by peso pluma
spotify:track:6TBzRwnX2oYd8aOrOuyK1p,"Oscar Maydon, Junior H",Fin de Semana,fin de semana by oscar maydon
spotify:track:3kf0WdFOalKWBkCCLJo4mA,Chino Pacas,El Gordo Trae El Mando,el gordo trae el mando by chino pacas
spotify:track:0UbesRsX2TtiCeamOIVEkp,"Fuerza Regida, Natanael Cano",Ch y la Pizza,ch y la pizza by fuerza regida
spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","shakira: bzrp music sessions, vol. 53 by bizarrap"
spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Bebe Dame,bebe dame by fuerza regida
spotify:track:1haJsMtoBhHfvuM7XWuT3W,"Junior H, Peso Pluma",El Azul,el azul by junior h
spotify:track:38UYeBLfvpnDSG9GznZdnL,"Gorillaz, Bad Bunny",Tormenta (feat. Bad Bunny),tormenta by gorillaz
spotify:track:6odrHMSLjP3aOXC4ipKUC6,Yng Lvcas,La Bebe,la bebe by yng lvcas
spotify:track:49lbKqbCI8SmJfW64OYXGZ,"Gabito Ballesteros, Junior H",Ya Corazón,ya corazón by gabito ballesteros
spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",Yandel 150,yandel 150 by yandel
spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,flowers by miley cyrus
spotify:track:0kzN7YAMSbmlHOvxlbQW9y,"Grupo Marca Registrada, Grupo Frontera",Di Que Si,di que si by grupo marca registrada
spotify:track:3gfSH9aYZbyGjdmbeoWliw,"Peso Pluma, Luis R Conriquez",Siempre Pendientes,siempre pendientes by peso pluma
spotify:track:5HiA7W5wYDWi06UZFUluRu,"Peso Pluma, Nicki Nicole",Por las Noches - Remix,por las noches by peso pluma
